priority_rank,sector_name,urgency_level,mean_risk_score,primary_recommendation,secondary_recommendation,full_action_package
1,Arang (B-1),CRITICAL (TIER 1),0.6564,Severe SOC Deficit & Low Clay: Apply 10-12 t/ha Farmyard Manure (FYM) or 3-4 t/ha Biochar + Green Manuring (Dhaincha/Sunnhemp) prior to Kharif paddy + 100% crop residue incorporation.,Acidic Stress Neutralization: Apply Agricultural Lime @ 2.0-2.5 t/ha to optimize soil pH and stimulate microbial SOC turnover.,Severe SOC Deficit & Low Clay: Apply 10-12 t/ha Farmyard Manure (FYM) or 3-4 t/ha Biochar + Green Manuring (Dhaincha/Sunnhemp) prior to Kharif paddy + 100% crop residue incorporation. | Acidic Stress Neutralization: Apply Agricultural Lime @ 2.0-2.5 t/ha to optimize soil pH and stimulate microbial SOC turnover.
2,Abhanpur (A-1),CRITICAL (TIER 1),0.6494,Severe SOC Deficit & Low Clay: Apply 10-12 t/ha Farmyard Manure (FYM) or 3-4 t/ha Biochar + Green Manuring (Dhaincha/Sunnhemp) prior to Kharif paddy + 100% crop residue incorporation.,Acidic Stress Neutralization: Apply Agricultural Lime @ 2.0-2.5 t/ha to optimize soil pH and stimulate microbial SOC turnover.,Severe SOC Deficit & Low Clay: Apply 10-12 t/ha Farmyard Manure (FYM) or 3-4 t/ha Biochar + Green Manuring (Dhaincha/Sunnhemp) prior to Kharif paddy + 100% crop residue incorporation. | Acidic Stress Neutralization: Apply Agricultural Lime @ 2.0-2.5 t/ha to optimize soil pH and stimulate microbial SOC turnover.
3,Arang (B-2),CRITICAL (TIER 1),0.631,Severe SOC Deficit & Low Clay: Apply 10-12 t/ha Farmyard Manure (FYM) or 3-4 t/ha Biochar + Green Manuring (Dhaincha/Sunnhemp) prior to Kharif paddy + 100% crop residue incorporation.,Acidic Stress Neutralization: Apply Agricultural Lime @ 2.0-2.5 t/ha to optimize soil pH and stimulate microbial SOC turnover.,Severe SOC Deficit & Low Clay: Apply 10-12 t/ha Farmyard Manure (FYM) or 3-4 t/ha Biochar + Green Manuring (Dhaincha/Sunnhemp) prior to Kharif paddy + 100% crop residue incorporation. | Acidic Stress Neutralization: Apply Agricultural Lime @ 2.0-2.5 t/ha to optimize soil pH and stimulate microbial SOC turnover.
4,Abhanpur (A-2),CRITICAL (TIER 1),0.6052,Severe SOC Deficit & Low Clay: Apply 10-12 t/ha Farmyard Manure (FYM) or 3-4 t/ha Biochar + Green Manuring (Dhaincha/Sunnhemp) prior to Kharif paddy + 100% crop residue incorporation.,Acidic Stress Neutralization: Apply Agricultural Lime @ 2.0-2.5 t/ha to optimize soil pH and stimulate microbial SOC turnover.,Severe SOC Deficit & Low Clay: Apply 10-12 t/ha Farmyard Manure (FYM) or 3-4 t/ha Biochar + Green Manuring (Dhaincha/Sunnhemp) prior to Kharif paddy + 100% crop residue incorporation. | Acidic Stress Neutralization: Apply Agricultural Lime @ 2.0-2.5 t/ha to optimize soil pH and stimulate microbial SOC turnover.
5,Raipur Rural (C-1),CRITICAL (TIER 1),0.5225,Severe SOC Deficit & Low Clay: Apply 10-12 t/ha Farmyard Manure (FYM) or 3-4 t/ha Biochar + Green Manuring (Dhaincha/Sunnhemp) prior to Kharif paddy + 100% crop residue incorporation.,Acidic Stress Neutralization: Apply Agricultural Lime @ 2.0-2.5 t/ha to optimize soil pH and stimulate microbial SOC turnover.,Severe SOC Deficit & Low Clay: Apply 10-12 t/ha Farmyard Manure (FYM) or 3-4 t/ha Biochar + Green Manuring (Dhaincha/Sunnhemp) prior to Kharif paddy + 100% crop residue incorporation. | Acidic Stress Neutralization: Apply Agricultural Lime @ 2.0-2.5 t/ha to optimize soil pH and stimulate microbial SOC turnover.
6,Raipur Rural (C-2),MODERATE (TIER 2),0.5133,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).,Acidic Stress Neutralization: Apply Agricultural Lime @ 2.0-2.5 t/ha to optimize soil pH and stimulate microbial SOC turnover.,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea). | Acidic Stress Neutralization: Apply Agricultural Lime @ 2.0-2.5 t/ha to optimize soil pH and stimulate microbial SOC turnover.
7,Abhanpur (A-3),MODERATE (TIER 2),0.5107,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).,N/A,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).
8,Arang (B-3),MODERATE (TIER 2),0.4935,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).,N/A,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).
9,Arang (B-4),MODERATE (TIER 2),0.4828,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).,N/A,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).
10,Raipur Rural (C-3),MODERATE (TIER 2),0.4825,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).,N/A,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).
